"Language","Glottocode","PC1","PC2","PC3"
"Malay, Kuala Lumpur","kual1254",0.187221818498484,-0.593510083470662,-1.06095116201145
"Malay, Kuching","sara1351",0.187221818498484,-0.593510083470662,-1.06095116201145
"Xârâcùù","xara1244",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Ainu","ainu1252",3.83535315232346,0.365184335277123,0.960420617227201
"Ona-Selknam","oona1245",2.87497010745996,-0.0536022706820656,0.431639342069077
"Seychelles Creole","sese1246",-4.5035393433619,0.728566899979481,3.13170492159913
"Nivkh","nivk1234",2.73149753354574,0.841692352739252,1.17507680743486
"French, standard","stan1290",-5.3699609089984,1.54663130610084,2.77351156128896
"Sundanese","sund1252",-2.40756665031877,-0.728317714350935,-0.804189468135313
"Nage","nage1237",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Tidore","tido1248",1.64920214896297,-0.339303717884165,1.03892815127897
"Ju|’hoan","juho1239",6.08244614678422,-0.0440338404983225,1.33531577872364
"Ju|’hoan","juho1239",4.90844086624668,-0.544007730047707,0.587725954373394
"Mentawai","ment1249",-0.692756038267075,-1.85995256824499,-0.473251945230783
"Kerinci","keri1250",0.507458257179389,-1.57008818387325,-0.53705357062241
"Mpur","mpur1239",3.64556468362518,0.238053016542877,1.39119562064529
"Abun","abun1252",3.64556468362518,0.238053016542877,1.39119562064529
"Äiwoo","ayin1239",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Hiw","hiww1237",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Onya Darat","sema1269",0.187221818498484,-0.593510083470662,-1.06095116201145
"Magey Matbat",NA,0.187221818498484,-0.593510083470662,-1.06095116201145
"Ambai","amba1265",0.507458257179389,-1.57008818387325,-0.53705357062241
"I’saka","kris1246",2.75746792113287,0.554074315379561,1.19307032038134
"Sinaugoro","sina1266",-1.67226685914568,-0.896912846948131,-0.940594286793205
"Tsou","tsou1248",0.507458257179389,-1.57008818387325,-0.53705357062241
"Seediq","taro1264",1.14162297242471,0.282015233496085,-0.49574295528658
"Ilokano","ilok1237",-2.40756665031877,-0.728317714350935,-0.804189468135313
"Sinama",NA,0.507458257179389,-1.57008818387325,-0.53705357062241
"Kimaragang","kima1244",0.507458257179389,-1.57008818387325,-0.53705357062241
"Malagasy",NA,0.187221818498484,-0.593510083470662,-1.06095116201145
"Eastern Cham","east2563",-2.51646228625564,-0.816699611879889,-0.969295034595895
"Moklen","mokl1243",0.507458257179389,-1.57008818387325,-0.53705357062241
